2014-03-03 16:03:09.819 TouchPointLogger[4653:60b] (02, 173.500000,	423.500000)
2014-03-03 16:03:09.968 TouchPointLogger[4653:60b] (02, 170.500000,	431.000000)
2014-03-03 16:03:09.985 TouchPointLogger[4653:60b] (02, 170.500000,	433.000000)
2014-03-03 16:03:10.002 TouchPointLogger[4653:60b] (02, 170.500000,	435.500000)
2014-03-03 16:03:10.018 TouchPointLogger[4653:60b] (02, 170.500000,	438.500000)
2014-03-03 16:03:10.035 TouchPointLogger[4653:60b] (02, 170.500000,	442.000000)
2014-03-03 16:03:10.052 TouchPointLogger[4653:60b] (02, 170.500000,	445.500000)
2014-03-03 16:03:10.068 TouchPointLogger[4653:60b] (02, 170.500000,	449.500000)
2014-03-03 16:03:10.085 TouchPointLogger[4653:60b] (02, 170.500000,	453.500000)
2014-03-03 16:03:10.102 TouchPointLogger[4653:60b] (02, 171.000000,	457.000000)
2014-03-03 16:03:10.118 TouchPointLogger[4653:60b] (02, 171.500000,	460.000000)
2014-03-03 16:03:10.135 TouchPointLogger[4653:60b] (02, 172.000000,	462.500000)
2014-03-03 16:03:10.152 TouchPointLogger[4653:60b] (02, 172.500000,	465.500000)
2014-03-03 16:03:10.168 TouchPointLogger[4653:60b] (02, 172.500000,	468.500000)
2014-03-03 16:03:10.185 TouchPointLogger[4653:60b] (02, 173.000000,	471.000000)
2014-03-03 16:03:10.202 TouchPointLogger[4653:60b] (02, 173.000000,	473.500000)
2014-03-03 16:03:10.219 TouchPointLogger[4653:60b] (02, 173.000000,	475.500000)
2014-03-03 16:03:10.235 TouchPointLogger[4653:60b] (02, 173.500000,	478.000000)
2014-03-03 16:03:10.252 TouchPointLogger[4653:60b] (02, 173.500000,	480.000000)
2014-03-03 16:03:10.268 TouchPointLogger[4653:60b] (02, 174.000000,	482.500000)
2014-03-03 16:03:10.285 TouchPointLogger[4653:60b] (02, 174.000000,	485.000000)
2014-03-03 16:03:10.302 TouchPointLogger[4653:60b] (02, 175.000000,	487.500000)
2014-03-03 16:03:10.318 TouchPointLogger[4653:60b] (02, 175.500000,	490.000000)
2014-03-03 16:03:10.335 TouchPointLogger[4653:60b] (02, 175.500000,	492.000000)
2014-03-03 16:03:10.351 TouchPointLogger[4653:60b] (02, 175.500000,	494.500000)
2014-03-03 16:03:10.368 TouchPointLogger[4653:60b] (02, 175.500000,	496.500000)
2014-03-03 16:03:10.384 TouchPointLogger[4653:60b] (02, 175.500000,	499.000000)
2014-03-03 16:03:10.401 TouchPointLogger[4653:60b] (02, 175.500000,	502.000000)
2014-03-03 16:03:10.418 TouchPointLogger[4653:60b] (02, 175.500000,	505.000000)
2014-03-03 16:03:10.435 TouchPointLogger[4653:60b] (02, 175.500000,	507.500000)
2014-03-03 16:03:10.452 TouchPointLogger[4653:60b] (02, 175.500000,	510.000000)
2014-03-03 16:03:10.468 TouchPointLogger[4653:60b] (02, 175.500000,	511.500000)
2014-03-03 16:03:10.485 TouchPointLogger[4653:60b] (02, 175.500000,	513.000000)
2014-03-03 16:03:10.502 TouchPointLogger[4653:60b] (02, 175.500000,	514.000000)
2014-03-03 16:03:10.518 TouchPointLogger[4653:60b] (02, 175.500000,	514.500000)
2014-03-03 16:03:10.535 TouchPointLogger[4653:60b] (02, 175.500000,	515.000000)
2014-03-03 16:03:10.602 TouchPointLogger[4653:60b] (02, 175.500000,	515.500000)
2014-03-03 16:03:10.768 TouchPointLogger[4653:60b] (02, 177.000000,	516.000000)
2014-03-03 16:03:11.452 TouchPointLogger[4653:60b] (03, 171.500000,	439.000000)
2014-03-03 16:03:11.635 TouchPointLogger[4653:60b] (03, 169.500000,	442.500000)
2014-03-03 16:03:11.652 TouchPointLogger[4653:60b] (03, 169.500000,	444.500000)
2014-03-03 16:03:11.669 TouchPointLogger[4653:60b] (03, 169.500000,	446.500000)
2014-03-03 16:03:11.685 TouchPointLogger[4653:60b] (03, 169.500000,	448.500000)
2014-03-03 16:03:11.702 TouchPointLogger[4653:60b] (03, 169.500000,	451.000000)
2014-03-03 16:03:11.719 TouchPointLogger[4653:60b] (03, 169.500000,	453.500000)
2014-03-03 16:03:11.735 TouchPointLogger[4653:60b] (03, 169.500000,	457.000000)
2014-03-03 16:03:11.752 TouchPointLogger[4653:60b] (03, 169.500000,	460.500000)
2014-03-03 16:03:11.769 TouchPointLogger[4653:60b] (03, 169.500000,	465.000000)
2014-03-03 16:03:11.785 TouchPointLogger[4653:60b] (03, 170.000000,	468.500000)
2014-03-03 16:03:11.802 TouchPointLogger[4653:60b] (03, 170.500000,	471.500000)
2014-03-03 16:03:11.819 TouchPointLogger[4653:60b] (03, 170.500000,	474.500000)
